"/ual/odom/twist/twist/linear/x_x","/ual/odom/twist/twist/linear/x_y","/del_uav/KF_twist/x_y"
21.883,0.07541869244,0.0451462108,
21.916,0.05422479584,0.05224615419,
21.949,0.0502924216,0.03958626101,
21.983,0.05449230839,0.03875481639,
22.016,0.03917252202,0.06286211655,
22.049,0.03750963279,0.04340204061,
22.083,0.07572423311,0.02924413018,
22.116,0.05680408122,0.01175396158,
22.149,0.04848826037,-0.01417720918,
22.183,0.02350792317,-0.02798987691,
22.217,0.001645581645,-0.02800724229,
22.249,-0.05597975381,-0.02768210846,
22.283,-0.02601448459,-0.02275923897,
22.316,-0.04536421692,-0.01813913137,
22.349,-0.02551847794,0.01010920482,
22.383,-0.01627826275,0.01606807114,
22.416,0.02021840964,0.02598540417,
22.449,0.02213614228,0.01905624608,
22.484,0.03197080834,0.02116485947,
22.516,0.01811249217,0.00138786828,
22.549,0.02232971893,-0.001545479085,
22.583,0.002775736561,0.001846131309,
22.616,-0.00309095817,0.007627970701,
22.649,0.003692262619,0.01276497944,
22.683,0.005255941402,-0.01706371907,
22.716,0.02552995887,-0.01170982619,
22.749,-0.02412743815,-0.00791905415,
22.783,-0.01341965237,-0.02722144452,
22.816,-0.005838108301,-0.03207447141,
22.849,-0.01444288904,-0.01346237685,
22.883,-0.03414894282,-0.0005150186812,
22.916,-0.0169247537,0.01866421865,
22.949,-0.001030037362,0.004761107282,
22.983,0.0273284373,0.01123731497,
23.016,0.009522214565,0.009497498471,
23.049,0.02247462993,-0.00600498876,
23.084,0.01899499694,-0.009335521313,
23.116,-0.00200997752,0.005129355403,
23.149,-0.008671042627,0.03370671832,
23.183,0.01025871081,0.03753556683,
23.216,0.03741343664,0.02519201882,
23.249,0.04507113365,0.01716180391,
23.283,0.04038403764,-0.01678715231,
23.316,0.03432360782,-0.0637266889,
23.349,0.01642569538,-0.06095281537,
23.383,-0.06745337779,-0.02958811127,
23.416,-0.06190563073,-0.0500770483,
23.449,-0.03917622254,-0.06589833724,
23.483,-0.04015409659,-0.06344177033,
23.516,-0.07179667448,-0.07263439339,
23.549,-0.06688354065,-0.08577978701,
23.583,-0.07526878677,-0.1036058665,
23.616,-0.09155957403,-0.1096094816,
